,,,,,ADT Su,"27,059","29,311","29,887","27,884","29,438","30,669","27,440","30,016","33,242","29,741",,,
764,HIRZEL,,ZH,H 338,ADT,"16,579","17,663","18,620","18,220","18,444",,,"18,985","20,024","18,682","17,786","16,856",
,,,,,AWT,"17,418","18,139","19,244","19,121","19,179",,,"19,607","20,082","19,194","18,589","17,662",
,,,,,ADT Tu-Th,"17,266","18,070","19,162","19,003","19,280",,,"19,470","19,839","19,106","18,586","17,496",
,,,,,ADT Sa,"15,796","18,107","18,489","17,643","17,527",,,"18,209","20,629","18,077","17,459","16,530",
,,,,,ADT Su,"13,514","14,838","16,130","15,600","16,275",,,"17,562","19,099","16,345","14,900","14,252",
765,"ST.GALLEN, WINKELN ALTER ZOLL - SG51",,SG,H 8,ADT,"13,830","14,711","14,614","14,483","15,320","14,688","13,781","15,229","16,213","15,141","15,182","14,224","14,781"
,,,,,AWT,"15,410","16,408","16,534","16,686","17,166","16,585","15,115","17,562","17,690","16,507","17,090","15,999","16,545"
,,,,,ADT Tu-Th,"15,478","16,539","16,640","16,707","17,405","16,633","15,210","17,573","17,888","16,535","17,213","15,814","16,603"
,,,,,ADT Sa,"12,125","12,460","12,637","12,513","13,724","13,023","11,686","12,692","14,243","13,109","13,798","13,163","12,953"
,,,,,ADT Su,"8,238","8,475","8,528","8,455","9,162","9,478","8,206","9,565","10,064","9,313","8,930","8,718","8,930"
766,JONA,,SG,A 15,ADT,"25,302","28,082","27,027","26,311","26,549","26,070","24,491","25,441","26,253","25,463","24,459","23,759","25,748"
,,,,,AWT,"26,568","29,003","28,600","28,838","28,501","27,766","25,502","27,365","26,946","26,472","26,522","25,187","27,236"
,,,,,ADT Tu-Th,"26,098","28,506","28,527","28,638","28,467","27,571","25,254","27,007","26,523","26,261","26,529","24,687","26,959"
,,,,,ADT Sa,"24,530","28,849","25,605","24,427","24,807","24,348","23,666","22,813","25,018","24,449","23,090","22,718","24,492"
,,,,,ADT Su,"20,346","22,712","21,842","19,142","20,092","21,565","19,497","21,219","23,676","20,671","17,579","19,453","20,563"
771,TUNNEL EGGFLUE,,BL,A 18,ADT,"18,471","19,594","19,174","19,650","20,228","20,118","19,222","19,598","20,164","19,645","19,730","18,554","19,507"
,,,,,AWT,"20,486","21,376","21,130","21,876","21,941","22,365","20,913","21,827","21,492","21,040","21,597","20,507","21,361"
,,,,,ADT Tu-Th,"20,452","21,285","21,082","21,777","21,942","22,325","21,046","21,705","21,363","20,875","21,432","20,135","21,269"
,,,,,ADT Sa,"16,810","18,012","17,884","18,729","18,960","18,585","16,666","17,885","18,961","18,128","19,133","18,027","18,173"
,,,,,ADT Su,"10,932","12,263","12,252","12,843","14,303","13,648","12,055","13,595","14,062","13,143","12,860","12,071","12,846"
773,FUELLINSDORF,,BL,A 22,ADT,"36,926","39,164","37,948","38,364","38,805","38,218","36,901","38,140","39,440","38,957","39,844","36,309","38,236"
,,,,,AWT,"41,737","43,749","42,608","44,364","42,832","43,753","40,640","43,871","42,747","42,635","44,651","41,210","42,851"
,,,,,ADT Tu-Th,"41,997","43,911","42,872","44,288","42,982","43,580","40,752","44,138","42,871","42,765","44,756","40,730","42,920"
,,,,,ADT Sa,"31,043","32,669","32,742","32,638","34,566","33,035","30,560","32,721","34,968","33,161","35,735","32,428","33,093"
,,,,,ADT Su,"20,463","22,733","23,581","22,181","26,129","23,222","21,741","23,554","25,726","23,608","24,724","21,746","23,232"
775,LAUSEN (AB),,BL,A 22,ADT,"20,529","21,887","21,358","22,498","23,143","22,677","22,064","22,769","23,461","22,853","23,152","20,692","22,252"
,,,,,AWT,"23,510","24,809","24,417","26,553","26,025","26,430","24,375","26,600","25,894","25,533","26,721","23,979","25,375"
,,,,,ADT Tu-Th,"23,631","24,868","24,525","26,574","26,286","26,564","23,966","26,482","26,004","25,672","26,918","23,671","25,400"
,,,,,ADT Sa,"16,293","17,539","17,735","18,281","19,906","18,685","18,565","18,974","19,364","18,000","19,384","17,526","18,404"
,,,,,ADT Su,"10,802","11,622","12,134","11,792","14,276","12,828","12,273","13,163","14,178","12,292","12,646","11,295","12,420"
776,WALDSTATT,,AR,H 8,ADT,"8,169","8,608","8,948","9,531","10,274","10,086","9,313","10,178",,,,,
,,,,,AWT,"8,877","9,403","9,726","10,277","10,861","10,638","9,699","10,923",,,,,
,,,,,ADT Tu-Th,"8,942","9,555","9,850","10,324","10,916","10,850","9,837","10,931",,,,,
,,,,,ADT Sa,"7,312","7,449","8,073","9,370","10,267","9,819","8,883","9,351",,,,,
,,,,,ADT Su,"5,743","5,792","6,558","7,153","7,814","8,426","7,520","8,380",,,,,
779,DOUANE VALLORBE,,VD,A 9,ADT,"14,802","16,480","16,574","17,191","17,425","16,395","18,834","18,581","17,206","17,628","16,236","16,258","16,974"
,,,,,AWT,"16,389","17,933","18,419","19,181","19,142","18,215","20,293","20,112","18,619","19,187","18,436","17,876","18,656"
,,,,,ADT Tu-Th,"16,135","17,435","18,165","18,957","19,082","17,884","19,781","19,725","18,450","18,775","18,100","17,422","18,349"
,,,,,ADT Sa,"12,565","15,018","14,634","14,611","14,595","13,395","16,252","16,442","14,658","14,829","13,663","15,240","14,672"
,,,,,ADT Su,"9,604","10,674","10,766","12,278","13,039","12,329","13,023","15,263","11,984","11,468","10,011","11,277","11,876"
780,CAMORINO,,TI,H 2,ADT,,,,,,,,,,,,"30,552",
,,,,,AWT,,,,,,,,,,,,"33,678",
,,,,,ADT Tu-Th,,,,,,,,,,,,"33,482",
,,,,,ADT Sa,,,,,,,,,,,,"30,400",
,,,,,ADT Su,,,,,,,,,,,,"19,713",
785,ESCHIKOFEN,,TG,A 23,ADT,"13,331","14,690","14,938","14,768","14,928","14,843","13,975","14,383","16,154","15,604","16,248","13,982","14,814"
,,,,,AWT,"15,154","16,536","16,925","16,938","16,727","16,968","15,453","16,690","17,613","17,210","18,538","15,951","16,708"
,,,,,ADT Tu-Th,"15,217","16,677","17,167","17,052","17,006","17,167","15,596","16,826","17,850","17,413","18,916","15,873","16,869"
,,,,,ADT Sa,"10,732","11,694","12,350","12,308","12,681","12,478","11,045","11,674","13,860","12,548","13,578","11,801","12,255"
,,,,,ADT Su,"7,387","8,455","9,181","9,174","9,617","9,338","8,403","8,949","10,420","9,423","9,759","8,544","9,043"
789,WEINFELDEN,,TG,H 14,ADT,"18,635","23,201","23,694","23,087","23,239","22,585","20,662","21,751","23,263","21,379","21,684","19,498","21,871"
,,,,,AWT,"20,721","25,756","26,122","25,989","25,486","25,332","22,612","24,846","24,825","23,086","23,900","21,942","24,166"
,,,,,ADT Tu-Th,"20,520","25,720","26,197","26,016","25,379","25,301","22,678","24,824","24,890","23,155","23,933","21,728","24,140"
,,,,,ADT Sa,"17,307","20,352","22,199","21,941","22,226","21,198","18,011","19,452","22,214","19,506","20,855","18,472","20,378"
,,,,,ADT Su,"10,522","13,277","14,993","14,179","14,813","14,351","12,102","13,353","15,721","13,436","13,645","11,630","13,485"
799,"SERRIÈRES, TUNNEL (AR)",,NE,A 5,ADT,"33,721","35,702","37,002","37,693","38,753","39,199","34,662","35,472","37,657","36,949","37,668","34,952","36,611"
,,,,,AWT,"37,662","39,260","41,302","42,110","42,501","43,455","37,393","39,242","40,422","40,131","42,183","38,814","40,320"
,,,,,ADT Tu-Th,"37,775","39,547","41,750","41,899","43,048","43,667","37,597","39,287","41,465","40,202","42,437","38,649","40,537"
,,,,,ADT Sa,"29,288","31,593","32,193","34,906","34,719","35,483","31,130","32,339","34,115","31,953","34,107","32,541","32,900"
,,,,,ADT Su,"19,924","22,023","23,753","24,825","27,047","27,489","22,493","25,516","25,991","23,651","23,168","23,045","24,189"
800,"NEU-BOIS, TUNNEL (AR)",,JU,A 16,ADT,"8,055","8,709","8,668","8,934","8,714","8,751",,,,,,,
,,,,,AWT,"9,528","10,162","10,313","10,634","10,249","10,373",,,,,,,
,,,,,ADT Tu-Th,"9,480","10,104","10,310","10,505","10,225","10,499",,,,,,,
,,,,,ADT Sa,"5,489","6,201","6,320","6,035","6,028","6,131",,,,,,,
,,,,,ADT Su,"3,628","3,949","4,108","5,202","4,954","5,090",,,,,,,
803,"BASEL - ST.JOHANN, TUNNEL W (AB)",,BS,A 3,ADT,"34,253","36,627","35,358","36,962","36,708","38,295","40,403","37,369","35,447","36,710","33,109","35,106","36,365"
,,,,,AWT,"36,890","38,570","37,845","38,430","38,415","39,858","41,170","39,053","36,182","37,880","35,157","36,124","37,973"
,,,,,ADT Tu-Th,"35,629","36,969","37,213","38,114","38,222","38,108","40,362","38,470","35,233","36,925","34,574","35,102","37,118"
,,,,,ADT Sa,"29,893","34,926","31,827","35,673","33,635","35,571","39,113","37,192","34,468","34,525","30,613","34,842","34,276"
,,,,,ADT Su,"26,138","28,615","28,445","32,928","32,613","34,902","37,282","31,906","32,385","32,167","27,413","31,719","31,393"
814,MARIN EST (AB),,NE,A 5,ADT,"36,591","38,753","40,161","40,589","41,910","42,385","38,834","39,187",,,"41,239","37,667",
,,,,,AWT,"40,368","42,155","44,055","45,060","45,166","46,421","41,745","42,906",,,"45,642","41,643",
,,,,,ADT Tu-Th,"40,503","42,298","44,429","44,991","45,265","47,074","41,938","42,797",,,"45,841","41,412",
,,,,,ADT Sa,"34,309","36,422","38,230","39,528","40,490","40,869","36,143","37,257",,,"39,613","36,540",
,,,,,ADT Su,"21,799","24,072","25,733","26,396","29,654","29,944","24,790","28,399",,,"25,255","24,506",
815,MARIN OUEST (AB),,NE,A 5,ADT,"40,416","42,554","43,891","44,273","45,713","46,883","42,381","42,858",,,"45,937","42,513",
,,,,,AWT,"44,815","46,494","48,636","49,598","49,731","51,976","45,873","47,446",,,"51,166","47,226",
,,,,,ADT Tu-Th,"44,966","46,509","49,002","49,544","49,874","52,262","46,181","47,301",,,"51,274","46,869",
,,,,,ADT Sa,"38,447","40,469","41,097","43,124","43,747","44,874","39,275","40,724",,,"44,620","41,554",
,,,,,ADT Su,"22,636","24,942","26,757","27,293","30,806","31,246","25,412","29,345",,,"26,339","26,654",
816,SISSACH (AB),,BL,A 2,ADT,"51,425","55,087",,,,,,,,"60,483","53,096","56,112",
,,,,,AWT,"51,241","54,280",,,,,,,,"59,689","53,378","55,524",
,,,,,ADT Tu-Th,"49,761","52,800",,,,,,,,"58,484","52,497","53,563",
,,,,,ADT Sa,"59,705","64,697",,,,,,,,"67,967","57,532","64,834",
,,,,,ADT Su,"45,612","49,517",,,,,,,,"57,562","47,529","52,354",
817,EFFINGEN (AB),,AG,A 3,ADT,"37,252","39,835","40,760","41,630",,,,"42,015","43,236","42,840","42,110","40,546",
,,,,,AWT,"38,247","40,142","41,221","42,551",,,,"42,428","43,123","42,664","42,399","41,017",
,,,,,ADT Tu-Th,"38,008","39,568","41,288","42,960",,,,"42,045","42,515","41,515","42,156","40,199",
,,,,,ADT Sa,"39,284","42,632","42,777","41,004",,,,"43,353","46,197","45,915","44,694","44,035",
,,,,,ADT Su,"31,249","35,505","36,807","38,978",,,,"39,526","40,891","40,776","38,368","36,575",
818,SOLOTHURN (AB),,SO,A 5,ADT,"44,661","47,232","49,025","48,958","49,578","47,528","45,803","46,881","49,038","48,267","48,606","45,050","47,544"
,,,,,AWT,"49,289","51,699","53,885","54,481","53,708","52,399","49,598","52,038","52,359","51,939","53,562","49,803","52,018"
,,,,,ADT Tu-Th,"49,273","51,864","54,140","54,556","54,087","52,052","49,916","52,836","52,676","52,036","53,961","49,427","52,183"
,,,,,ADT Sa,"39,888","41,606","44,662","44,404","46,380","43,199","39,525","41,723","45,127","42,892","44,873","41,590","43,098"
,,,,,ADT Su,"28,119","30,522","32,977","33,583","35,430","34,179","30,262","33,988","34,685","32,522","32,513","30,718","32,533"
819,LENGNAU (AB),,BE,A 5,ADT,"24,181","26,011","27,289","27,872","28,429","28,328","26,642","27,562","27,931","27,651","27,233","24,916","27,003"
,,,,,AWT,"26,368","28,030","29,532","30,391","30,388","30,548","28,451","29,954","29,401","29,467","29,616","27,194","29,088"
,,,,,ADT Tu-Th,"26,330","28,056","29,662","30,369","30,524","30,492","28,593","29,936","29,461","29,415","29,695","26,985","29,106"
,,,,,ADT Sa,"22,480","24,107","25,932","26,461","27,089","26,628","24,125","25,153","26,504","25,137","26,126","24,191","25,385"
,,,,,ADT Su,"15,921","17,824","19,227","20,413","21,542","22,059","18,759","21,598","21,274","19,726","18,809","17,428","19,614"
827,BUCHS (AB),,SG,A 13,ADT,"44,619","47,955","47,351","49,190","49,009","53,523","50,326","54,124","54,750","50,369","45,739","45,175","49,340"
,,,,,AWT,"47,045","49,667","50,052","52,556","51,693","55,083","51,739","55,656","55,558","52,086","49,931","48,135","51,583"
,,,,,ADT Tu-Th,"46,456","48,736","49,080","52,365","51,530","53,801","50,699","54,235","54,576","50,984","49,499","46,913","50,735"
,,,,,ADT Sa,"43,241","48,029","44,754","45,434","45,318","53,098","48,879","52,690","54,463","47,640","40,457","43,674","47,191"
,,,,,ADT Su,"35,048","39,320","38,604","40,475","41,427","48,604","43,644","50,216","50,593","43,224","34,254","35,816","41,741"
828,TRUEBBACH N (AB),,SG,A 13,ADT,"42,530","45,648","45,430","47,150","47,395","48,912","48,413","52,779","51,722","48,034","43,250","43,108","47,034"
,,,,,AWT,"44,382","46,651","47,309","49,657","49,392","49,197","49,104","53,610","51,726","49,063","46,373","45,240","48,469"
,,,,,ADT Tu-Th,"43,665","45,573","46,412","49,379","49,145","49,708","47,998","52,134","50,397","47,830","45,877","43,971","47,672"
,,,,,ADT Sa,"42,101","47,002","43,922","44,261","44,496","48,692","48,446","52,269","52,771","46,503","39,618","42,319","45,960"
,,,,,ADT Su,"34,726","39,279","39,049","40,719","41,907","48,107","44,409","50,434","50,651","43,648","34,390","36,172","41,915"
829,BILTEN (AB),,GL,A 3,ADT,"51,761","56,864","52,703","49,837","49,825","53,837","52,778","56,563","53,995","52,097","46,783","51,108","52,322"
,,,,,AWT,"50,019","53,487","50,747","49,585","49,383","52,079","51,213","55,943","51,536","50,823","46,925","49,774","50,946"
,,,,,ADT Tu-Th,"47,179","50,256","48,696","48,895","48,496","50,163","49,584","53,896","49,117","49,020","45,753","47,788","49,057"
,,,,,ADT Sa,"58,923","69,454","57,317","52,324","51,434","57,224","58,623","56,584","60,196","56,828","48,071","55,036","56,567"
,,,,,ADT Su,"53,696","61,157","56,306","49,019","50,072","57,440","55,932","58,613","61,317","54,691","44,930","53,161","54,447"
830,NIEDERURNEN (AB),,GL,A 3,ADT,"40,777","45,090","40,974","38,218","37,408","41,475","41,702","44,115","41,248","39,929","34,979","40,596","40,522"
,,,,,AWT,"38,303","40,760","37,881","36,666","35,922","38,854","39,388","42,049","38,273","37,813","33,896","38,046","38,157"
,,,,,ADT Tu-Th,"35,443","37,490","35,752","36,003","35,011","36,986","37,787","39,916","35,992","36,008","32,683","36,154","36,284"
,,,,,ADT Sa,"48,544","59,350","46,721","41,305","39,674","45,087","48,431","46,628","47,910","45,784","37,111","45,506","45,737"
,,,,,ADT Su,"45,449","52,480","48,219","41,331","41,379","47,807","48,276","48,906","50,954","46,238","37,182","46,248","45,978"
833,BUETTENBERGTUNNEL (AB),,BE,A 5,ADT,"29,877","31,897","32,493","32,202","32,433","32,484","31,968","33,478","34,456","34,456","34,262","31,066","32,587"
,,,,,AWT,"32,911","34,870","35,845","35,846","35,564","35,730","34,513","36,771","36,835","37,239","38,137","34,263","35,695"
,,,,,ADT Tu-Th,"32,603","34,704","35,830","35,684","35,677","35,628","34,460","36,424","36,742","36,952","38,074","33,826","35,526"
,,,,,ADT Sa,"27,262","29,065","30,084","29,916","29,521","29,736","28,531","30,552","31,768","30,562","31,823","29,710","29,925"
,,,,,ADT Su,"18,620","19,867","20,823","21,582","22,197","23,497","20,775","24,940","24,060","22,353","21,201","20,781","21,787"
834,LAENGHOLZTUNNEL (AB),,BE,A 5,ADT,"35,060","37,758","38,750","38,485","39,280","38,631","36,148","38,364","39,797","39,880","39,797","36,151","38,168"
,,,,,AWT,"38,779","41,442","42,794","42,916","43,138","42,572","39,171","42,489","42,779","43,292","44,445","40,117","41,957"
,,,,,ADT Tu-Th,"38,399","41,320","42,803","42,724","43,315","42,326","39,127","42,115","42,740","42,912","44,272","39,558","41,745"
,,,,,ADT Sa,"31,858","33,974","35,699","35,547","35,728","35,394","31,852","34,592","36,276","35,131","36,666","34,289","34,821"
,,,,,ADT Su,"21,263","23,126","24,817","25,676","26,631","27,654","23,067","27,756","26,918","25,007","24,338","23,511","25,088"
839,STANS NORD (AB),,NW,A 2,ADT,"36,993","37,949","38,358","43,492","44,025","46,324","52,519","52,682","47,323","44,043","38,318","39,042","43,462"
,,,,,AWT,"38,904","40,094","41,285","46,187","46,057","47,284","52,707","52,871","47,729","45,322","41,891","41,048","45,152"
,,,,,ADT Tu-Th,"38,318","39,624","40,620","45,864","45,251","46,775","51,159","51,737","46,109","44,425","41,659","40,521","44,440"
,,,,,ADT Sa,"35,551","35,483","35,104","43,101","43,134","47,470","55,619","55,545","48,880","44,048","34,811","39,141","43,080"
,,,,,ADT Su,"29,736","29,686","29,316","34,771","36,379","42,363","48,337","49,666","43,536","36,684","27,531","31,956","36,672"
840,BUOCHS WEST (AB),,NW,A 2,ADT,"22,099","22,573","23,401","28,602","28,833","32,204","37,974","39,259","32,736","29,030","23,271","24,057","28,714"
,,,,,AWT,"22,631","23,387","24,430","28,918","28,867","31,208","36,572","37,394","31,566","28,641","24,638","24,572","28,610"
,,,,,ADT Tu-Th,"22,163","22,941","23,948","28,514","27,883","30,328","34,988","35,914","29,951","27,699","24,321","24,008","27,827"
,,,,,ADT Sa,"22,207","21,793","22,369","30,061","30,152","34,959","44,099","43,917","36,825","31,956","22,032","25,464","30,419"
,,,,,ADT Su,"19,676","19,282","20,115","26,578","27,374","33,687","39,912","41,592","35,079","28,337","19,045","21,316","27,675"
841,BUOCHS OST (AB),,NW,A 2,ADT,"19,270","19,632","20,723","25,818","25,877","29,163","34,980","36,406","29,953","26,180","20,383","21,215","25,845"
,,,,,AWT,"19,551","20,206","21,396","25,718","25,541","27,809","33,362","34,189","28,539","25,519","21,354","21,432","25,429"
,,,,,ADT Tu-Th,"19,092","19,755","20,940","25,297","24,522","27,023","31,905","32,618","26,888","24,545","20,988","20,828","24,643"
,,,,,ADT Sa,"19,628","19,032","20,091","27,585","27,640","32,281","41,519","41,503","34,470","29,612","19,556","22,898","27,924"
,,,,,ADT Su,"17,747","17,366","18,529","24,971","25,525","31,598","37,741","39,551","33,212","26,546","17,325","19,335","25,797"
845,BAHNTAL 2 A4,,SH,A 4,ADT,"14,453","14,895","15,969","16,828","16,784","17,246","16,674","17,384","16,477","15,681","15,555","14,575","16,048"
,,,,,AWT,"15,766","16,023","17,127","18,071","17,646","18,513","17,535","18,642","17,112","16,529","16,774","15,970","17,126"
,,,,,ADT Tu-Th,"15,504","16,000","16,952","18,052","17,291","18,554","17,674","18,549","17,038","16,475","16,636","15,806","17,044"
,,,,,ADT Sa,"13,409","14,091","15,316","16,731","16,699","16,471","15,793","16,564","16,605","15,070","15,480","13,978","15,555"
,,,,,ADT Su,"9,509","10,061","11,759","12,753","13,252","13,537","12,598","13,876","12,852","11,413","10,752","10,094","11,927"
846,BAHNTAL 3 A4,,SH,A 4,ADT,"16,347","17,849","18,519","18,766","18,917","18,594","17,815","18,449","19,608","18,825","19,458","17,867","18,415"
,,,,,AWT,"18,449","19,917","20,878","21,267","21,024","20,961","19,506","20,671","21,228","20,517","21,848","20,188","20,516"
,,,,,ADT Tu-Th,"18,501","20,017","21,066","21,123","21,166","21,278","19,568","20,717","21,363","20,493","22,197","19,914","20,588"
,,,,,ADT Sa,"13,619","15,123","15,646","16,435","16,767","16,237","14,866","16,193","17,182","15,999","17,685","16,023","16,027"
,,,,,ADT Su,"9,284","10,231","11,486","11,983","12,217","12,274","11,036","12,925","13,122","11,922","11,669","10,975","11,624"
847,ENGI A4 GALGENBUCKTUNNEL,,SH,H 13,ADT,"17,723","19,002","20,058","19,737","19,670","18,800","18,088","18,703","19,430","18,925","19,410","18,426","18,994"
